998089, 34.06634233333333, -118.17073533333334, +01.630,  -02.924,  +20.3,  +22.1, $GNRMC, 205951.00, A, 3403.98054, N, 11810.24412, W, 0.170, , 260324, , , D, V*02
998089, 34.06634233333333, -118.17073533333334, +01.530,  -02.785,  +19.3,  +22.1, $GNRMC, 205951.00, A, 3403.98054, N, 11810.24412, W, 0.170, , 260324, , , D, V*02
998089, 34.0663415, -118.17073916666666, +01.203,  -02.757,  +20.3,  +22.1, $GNRMC, 205954.00, A, 3403.98049, N, 11810.24435, W, 0.188, , 260324, , , D, V*09
998089, 34.0663415, -118.17073916666666, +01.556,  -02.816,  +19.3,  +22.1, $GNRMC, 205954.00, A, 3403.98049, N, 11810.24435, W, 0.188, , 260324, , , D, V*09
998089, 34.06634066666667, -118.1707425, +01.478,  -02.772,  +20.3,  +22.1, $GNRMC, 205957.00, A, 3403.98044, N, 11810.24455, W, 0.149, , 260324, , , D, V*0C
998089, 34.06634066666667, -118.1707425, +01.566,  -02.570,  +19.3,  +22.1, $GNRMC, 205957.00, A, 3403.98044, N, 11810.24455, W, 0.149, , 260324, , , D, V*0C
998089, 34.06634, -118.17074566666666, +01.566,  -02.570,  +19.3,  +22.1, $GNRMC, 210000.00, A, 3403.98040, N, 11810.24474, W, 0.211, , 260324, , , D, V*0A
998089, 34.06634, -118.17074566666666, +01.548,  -02.499,  +20.3,  +22.1, $GNRMC, 210000.00, A, 3403.98040, N, 11810.24474, W, 0.211, , 260324, , , D, V*0A
998089, 34.06633983333333, -118.1707485, +01.547,  -02.870,  +20.3,  +22.1, $GNRMC, 210003.00, A, 3403.98039, N, 11810.24491, W, 0.186, , 260324, , , D, V*01
998089, 34.06633983333333, -118.1707485, +01.469,  -02.798,  +20.3,  +22.1, $GNRMC, 210003.00, A, 3403.98039, N, 11810.24491, W, 0.186, , 260324, , , D, V*01
998089, 34.06633983333333, -118.1707485, +01.552,  -02.775,  +20.3,  +22.1, $GNRMC, 210003.00, A, 3403.98039, N, 11810.24491, W, 0.186, , 260324, , , D, V*01
998089, 34.0663395, -118.17075216666667, +01.470,  -02.902,  +20.3,  +22.1, $GNRMC, 210007.00, A, 3403.98037, N, 11810.24513, W, 0.178, , 260324, , , D, V*01
998089, 34.06633933333333, -118.17075316666667, +01.667,  -03.135,  +20.3,  +22.1, $GNRMC, 210008.00, A, 3403.98036, N, 11810.24519, W, 0.216, , 260324, , , D, V*0E
998089, 34.0663395, -118.1707545, +01.672,  -02.959,  +19.3,  +22.1, $GNRMC, 210009.00, A, 3403.98037, N, 11810.24527, W, 0.209, , 260324, , , D, V*0D
