998089, 34.06639033333333, -118.17058266666666, +01.170,  -01.517,  +19.3,  +22.1, $GNRMC, 205736.00, A, 3403.98342, N, 11810.23496, W, 0.168, , 260324, , , D, V*0B
998089, 34.06639033333333, -118.17058266666666, +01.170,  -01.517,  +19.3,  +22.1, $GNRMC, 205736.00, A, 3403.98342, N, 11810.23496, W, 0.168, , 260324, , , D, V*0B
998089, 34.066388333333336, -118.17058633333333, +01.037,  -01.326,  +19.3,  +22.1, $GNRMC, 205739.00, A, 3403.98330, N, 11810.23518, W, 0.202, , 260324, , , D, V*09
998089, 34.066388333333336, -118.17058633333333, +01.221,  -01.592,  +19.3,  +22.1, $GNRMC, 205739.00, A, 3403.98330, N, 11810.23518, W, 0.202, , 260324, , , D, V*09
998089, 34.066385333333336, -118.1705885, +01.305,  -01.789,  +19.3,  +22.1, $GNRMC, 205742.00, A, 3403.98312, N, 11810.23531, W, 0.207, , 260324, , , D, V*0B
998089, 34.066385333333336, -118.1705885, +01.233,  -01.752,  +19.3,  +22.1, $GNRMC, 205742.00, A, 3403.98312, N, 11810.23531, W, 0.207, , 260324, , , D, V*0B
998089, 34.066381666666665, -118.17059566666667, +01.386,  -01.639,  +19.3,  +22.1, $GNRMC, 205745.00, A, 3403.98290, N, 11810.23574, W, 0.191, , 260324, , , D, V*0A
998089, 34.066381666666665, -118.17059566666667, +01.386,  -01.639,  +19.3,  +22.1, $GNRMC, 205745.00, A, 3403.98290, N, 11810.23574, W, 0.191, , 260324, , , D, V*0A
998089, 34.066381, -118.1706005, +01.638,  -01.979,  +19.3,  +22.1, $GNRMC, 205748.00, A, 3403.98286, N, 11810.23603, W, 0.211, , 260324, , , D, V*08
998089, 34.066381, -118.1706005, +01.459,  -01.742,  +19.3,  +22.1, $GNRMC, 205748.00, A, 3403.98286, N, 11810.23603, W, 0.211, , 260324, , , D, V*08
